case,group,n_seeds,total_wirelength_mm_mean,total_wirelength_mm_std,bbox_area_mm2_mean,bbox_area_mm2_std,max_temp_C_mean,max_temp_C_std
Case6,RL,5,274605.043655,17564.299406,2481.241148,59.043933,94.918000,0.860854
Case7,RL,5,63157.827012,3725.417030,744.164410,10.835099,78.254000,0.977793
Case8,RL,5,64200.088332,2796.303755,556.891337,3.511673,77.312000,0.416797
Case9,RL,5,571057.870922,38381.051236,4181.098460,0.000000,113.348000,1.128880
Case10,RL,5,278271.280487,25762.728132,2344.999002,19.760075,104.650000,0.814985
acend910,RL,5,18535.224884,740.852945,1647.683867,93.884794,75.208000,0.058907
cpu-dram,RL,5,145161.707749,18664.333437,1168.696723,52.786878,101.076000,0.991781
hp11_m,RL,5,204597.457394,10874.031036,1867.898469,18.900088,87.336000,0.793177
multigpu,RL,5,105155.337743,2167.696040,2138.681975,57.806912,90.420000,0.404042
syn1,RL,5,123260.794032,11626.065632,1614.457468,72.555188,84.496000,0.706810
syn4,RL,5,219680.629582,18971.747779,1376.558143,14.252312,83.372000,0.902203
xerox8_m,RL,5,133711.059817,3061.670166,2210.292020,152.040968,79.568000,0.927615
Case6,AT,5,66469.259592,600.748174,2164.699757,79.411026,113.816000,0.314690
Case7,AT,5,54417.915733,15315.974890,752.477216,2.261623,75.386000,2.581991
Case8,AT,5,25836.000192,1519.980293,453.063079,5.353989,80.448000,0.233174
Case9,AT,5,161006.762376,3502.091889,4168.206212,0.018288,118.920000,0.383667
Case10,AT,5,138094.042020,9482.247684,2348.058258,0.015447,103.104000,0.746679
acend910,AT,5,42380.112982,1562.043134,2009.131450,0.000000,73.784000,0.054129
cpu-dram,AT,5,179991.846481,12314.728698,1288.411038,0.000000,97.730000,0.036742
hp11_m,AT,5,137770.013287,18091.172106,1616.687787,116.536808,100.468000,1.146154
multigpu,AT,5,100525.506108,5282.767271,2227.131679,0.000000,90.110000,0.333691
syn1,AT,5,119945.755954,5274.926218,1671.891185,0.000000,85.798000,0.193701
syn4,AT,5,197232.270538,33425.226242,1391.505028,2.774887,82.268000,3.210836
xerox8_m,AT,5,207559.276193,6755.850315,2642.309737,0.000000,75.752000,0.364033
Case6,FM,5,258204.645530,24498.391641,2213.897850,83.660626,97.474000,0.944050
Case7,FM,5,69009.038552,6983.774751,612.184397,11.550642,76.978000,0.810969
Case8,FM,5,62299.373356,6257.854262,429.801707,19.452948,79.286000,0.384552
Case9,FM,5,416668.881197,26373.141980,3644.143066,133.927697,119.188000,1.292273
Case10,FM,5,206293.510375,15427.061844,2086.085864,67.011914,107.434000,1.285177
acend910,FM,5,32323.563065,7702.456358,1519.179565,149.294736,74.644000,0.260826
cpu-dram,FM,5,163605.942234,28942.910695,1059.851241,79.528410,108.074000,2.008614
hp11_m,FM,5,243366.481785,36874.114269,1646.478905,118.411797,92.474000,3.199520
multigpu,FM,5,120924.982254,42073.770880,1918.808496,108.839434,94.732000,0.610590
syn1,FM,5,132257.741550,15604.253303,1392.512622,47.429543,88.230000,0.826529
syn4,FM,5,212621.646652,16811.793373,1121.350440,86.274656,87.400000,1.123988
xerox8_m,FM,5,176011.713356,32741.690327,2106.922802,164.679904,78.844000,1.284963
